Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
43,3,6,"град София, Център",2015,1-СТАЕН,Тухла,70000
43,13,16,"град София, Студентски град",2018,2-СТАЕН,Тухла,51499
43,2,8,"град София, Зона Б-5",2020,1-СТАЕН,Тухла,57000
43,3,8,"град София, Лозенец",2006,1-СТАЕН,Тухла,80000
43,13,15,"град София, Люлин 10",1988,1-СТАЕН,ЕПК,41500
43,8,14,"град София, Люлин 3",1982,1-СТАЕН,ЕПК,42800
43,7,14,"град София, Люлин 3",1984,1-СТАЕН,ЕПК,49000
43,1,7,"град София, Люлин 5",1982,1-СТАЕН,Панел,37000
43,2,8,"град София, Люлин 5",1980,1-СТАЕН,Панел,39000
43,1,9,"град София, Младост 4",2021,1-СТАЕН,Тухла,43000
43,1,9,"град София, Младост 4",2021,1-СТАЕН,Тухла,45000
43,4,9,"град София, Младост 4",2021,1-СТАЕН,Тухла,48000
43,2,4,"град София, Обеля 1",2019,1-СТАЕН,Тухла,45500
43,3,6,"град София, Овча купел",2018,1-СТАЕН,Тухла,57000
43,8,9,"град София, Овча купел 1",1990,1-СТАЕН,Панел,45500
43,8,10,"град София, Полигона",2017,1-СТАЕН,Тухла,64000
43,1,3,"град София, Симеоново",2019,1-СТАЕН,Тухла,60000
43,6,6,"град София, Студентски град",2021,1-СТАЕН,Тухла,36980
43,5,6,"град София, Център",2020,"АТЕЛИЕ, ТАВАН",Тухла,42420
44,1,4,"град София, Овча купел 1",1990,2-СТАЕН,Панел,41500
44,8,8,"град София, Хаджи Димитър",1985,1-СТАЕН,Панел,52000
44,9,9,"град София, Хаджи Димитър",1986,1-СТАЕН,Панел,51500
44,9,15,"град София, Студентски град",2018,1-СТАЕН,Тухла,58000
44,11,16,"град София, Студентски град",2017,1-СТАЕН,Тухла,50000
44,5,6,"град София, Студентски град",2018,1-СТАЕН,Тухла,49990
44,11,16,"град София, Студентски град",2018,1-СТАЕН,Тухла,49000
44,12,17,"град София, Студентски град",2018,1-СТАЕН,Тухла,44950
44,1,8,"град София, Слатина",1987,1-СТАЕН,Панел,59400
44,7,8,"град София, Слатина",1984,1-СТАЕН,Панел,49500
44,4,9,"град София, Надежда 3",1988,1-СТАЕН,Панел,47999
44,7,8,"град София, Хаджи Димитър",2018,1-СТАЕН,Тухла,58000
44,6,6,"град София, Младост 3",2017,1-СТАЕН,Панел,38000
44,3,6,"град София, Център",2020,1-СТАЕН,Тухла,46089
44,3,6,"град София, Център",2018,1-СТАЕН,Тухла,46958
44,10,14,"град София, Студентски град",2018,2-СТАЕН,Тухла,52999
44,8,8,"град София, Люлин 6",1980,2-СТАЕН,Панел,42990
44,8,8,"град София, Люлин 5",1980,2-СТАЕН,Панел,36999
44,1,7,"град София, Люлин 3",2018,2-СТАЕН,Тухла,37300
44,7,14,"град София, Захарна фабрика",1978,2-СТАЕН,ЕПК,45500
44,3,6,"град София, Дружба 1",1978,2-СТАЕН,Панел,32100
44,6,7,"град София, Банишора",2003,2-СТАЕН,Тухла,49000
44,2,7,"град София, Център",2017,1-СТАЕН,Тухла,52396
44,3,3,"град София, Център",2019,1-СТАЕН,Тухла,52176
44,6,7,"град София, Център",2003,1-СТАЕН,Тухла,49000
44,3,7,"град София, Център",2019,1-СТАЕН,Тухла,46957
44,4,7,"град София, Люлин 9",2020,1-СТАЕН,Тухла,42500
44,2,6,"град София, Банишора",2007,1-СТАЕН,Тухла,53490
44,3,6,"град София, Банишора",2020,1-СТАЕН,Тухла,42180
44,5,8,"град София, Слатина",1986,1-СТАЕН,Панел,55000
44,7,8,"град София, Слатина",1981,1-СТАЕН,Панел,49500
44,1,4,"град София, Овча купел 1",1990,1-СТАЕН,Панел,41500
44,2,8,"град София, Лагера",1984,1-СТАЕН,Панел,55000
44,6,7,"град София, Банишора",2003,1-СТАЕН,Тухла,49000
44,6,7,"град София, Банишора",2003,1-СТАЕН,Тухла,49000
44,9,13,"град София, Витоша",2019,1-СТАЕН,Тухла,52700
44,2,8,"град София, Връбница 1",2019,1-СТАЕН,Тухла,35060
44,5,7,"град София, Люлин 9",2020,1-СТАЕН,Тухла,41500
44,5,9,"град София, Люлин 7",1983,1-СТАЕН,Панел,55000
44,1,8,"град София, Люлин 5",1977,1-СТАЕН,Панел,41900
44,4,13,"град София, Люлин 10",1985,1-СТАЕН,ЕПК,49500
44,3,6,"град София, Карпузица",2008,1-СТАЕН,Тухла,61500
44,5,7,"град София, Дървеница",2019,1-СТАЕН,Тухла,53500
44,5,7,"град София, Дървеница",2019,1-СТАЕН,Тухла,52800
44,7,9,"град София, Дървеница",2018,1-СТАЕН,Тухла,41500
44,6,6,"град София, Горубляне",2017,1-СТАЕН,Панел,38000
44,5,8,"град София, Връбница 1",1980,1-СТАЕН,Панел,40990
44,2,8,"град София, Връбница 1",2020,1-СТАЕН,Тухла,32500
45,6,8,"град София, Дианабад",2003,1-СТАЕН,Тухла,56900
45,6,9,"град София, Студентски град",2018,1-СТАЕН,Тухла,64000
45,6,9,"град София, Студентски град",2018,1-СТАЕН,Тухла,64095
45,6,9,"град София, Студентски град",2018,1-СТАЕН,Тухла,64095
45,6,9,"град София, Студентски град",2018,1-СТАЕН,Тухла,64095
