Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157875118839420&slink=60chmc&f1=1,80,442,0,0,"град София, с. Кокаляне",1950,КЪЩА,Гредоред,49500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160035308880287&slink=60chmc&f1=1,80,568,0,0,"град София, с. Лозен",1988,КЪЩА,Тухла,59900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157313667221448&slink=60chmc&f1=1,80,517,0,0,"град София, с. Панчарево",1970,КЪЩА,Тухла,115900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159481785389570&slink=60chmc&f1=1,80,795,0,0,"град София, с. Яна",0,КЪЩА,Тухла,109999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158038985986855&slink=60chmc&f1=1,80,347,0,0,"град София, Факултета",0,КЪЩА,Тухла,60000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j150166371261443&slink=60chmn&f1=1,81,585,1,1,"град София, гр. Нови Искър",1980,КЪЩА,Тухла,85000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157062549833441&slink=60chmn&f1=1,81,683,0,0,"град София, с. Войнеговци",1980,КЪЩА,Тухла,68000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159160282930127&slink=60chmq&f1=1,82,1144,0,0,"град София, с. Желява",1940,КЪЩА,Гредоред,35000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159437329821489&slink=60chms&f1=1,83,480,0,0,"град София, с. Долни Богров",1967,КЪЩА,Тухла,43000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j155196091497177&slink=60chms&f1=1,83,479,0,0,"град София, с. Долни Богров",1967,КЪЩА,Тухла,49000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159851773949849&slink=60chmu&f1=1,84,400,0,0,"град София, Модерно предградие",1986,КЪЩА,Тухла,51500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j156110688967635&slink=60chmu&f1=1,84,880,0,0,"град София, Сеславци",0,КЪЩА,Гредоред,62000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160334403448354&slink=60chmx&f1=1,85,400,0,0,"град София, Орландовци",1970,КЪЩА,Тухла,99900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j154382916105242&slink=60chmx&f1=1,85,748,0,0,"град София, гр. Нови Искър",0,КЪЩА,Тухла,0
